LeagueIndex,UniqueUnitsMade,UniqueHotkeys,Age,HoursPerWeek,TotalHours,APM,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,ComplexUnitsMade,ComplexAbilitiesUsed,SelectByHotkeys,AssignToHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs
1,8,0,18,24,200,111.8556,48.1798,54.1513,4.3529,31,5.360976,0.87404724,2.0394648,23.36614524,3.32137314,5.24E-01,1.04885244,20.80228077
0,7,1,24,10,200,87.162,38.8354,60.0168,6.1975,21,5.937111,0,0.17635572,2.11628988,3.53E-01,2.05750287,4.6440729,13.99101102
0,6,6,16,24,50,109.038,28.555,63.1429,4.8571,13,5.408766,0,0.42927633,22.83760377,0.94441005,0,0,18.02968551
1,9,4,16,42,700,163.4436,27.2557,42.4514,5.3681,32,4.4708607,0.90276903,1.5906105,28.67365485,2.79428661,0.85977927,5.67454743,24.76165572
1,6,5,20,16,900,127.6602,22.6667,64.6372,6.4779,21,14.144247,0,0,14.53696398,3.06454968,2.75023485,2.04303312,17.75867373
1,9,7,23,12,600,142.5096,39.7778,56.7456,6.6977,33,6.657147,4.66E-01,0.37243809,21.55470777,2.88637794,2.79E-01,5.12E-01,18.48211344
1,3,0,19,6,550,106.4316,25.1294,64.7953,5.7251,11,5.362569,0,0,8.54081109,4.97E-01,0,1.29105216,16.98230925
1,3,2,23,8,700,68.6388,84.6087,75.0968,4.6559,25,3.2785533,0,0,2.34182151,4.68E-01,1.56E-01,1.40509503,14.51928699
1,8,4,23,40,2000,128.0802,25.2451,50.9612,6.1395,20,5.6286,2.92E-01,1.754424,14.76624447,1.60820253,6.06731751,3.72811383,18.85985622
1,4,3,20,16,625,189.1506,21.1915,48.254,5.6561,18,6.758568,0.63359982,0.52799985,75.39853788,1.16160498,0.84479976,1.16160498,19.95843681
0,7,3,17,8,100,98.634,52.4388,70.9076,5.1849,19,7.612416,1.66093083,0.7612416,11.90334735,3.46E-01,2.08E-01,2.28378321,16.47090846
0,7,0,35,14,1300,38.6472,54.496,100.988,2.9482,20,2.9115261,0,0,1.40377284,0.57190824,5.20E-02,0.8318646,13.04987724
0,7,2,22,16,450,114.942,31.2208,61.5517,8.1379,22,7.374528,0.82596519,5.1917463,9.26258877,1.59293097,1.18E-01,4.72E-01,13.68739053
1,8,7,16,28,750,211.0536,33.1129,41.7143,4.706,21,4.6982349,0.57824307,1.7347239,86.44724073,3.61401786,2.89E-01,1.22876586,26.31003048
1,4,1,21,10,350,77.7252,37.5429,73.3333,5.7234,16,3.5185653,0,1.8043911,6.94695618,2.16528525,3.61E-01,5.774094,12.72105018
0,9,4,28,6,1200,62.8314,44.0139,84.2907,4.7232,23,3.1693266,2.20E-01,0.39616317,5.15012652,1.01242053,3.08E-01,1.10045502,12.72125196
1,7,4,22,6,160,134.571,28.5921,49.506,4.4849,25,9.739071,0,0,16.82943966,2.49325209,0,2.57116572,25.86747384
0,5,2,31,10,400,119.232,30.6242,68.4557,5.9304,16,3.3563979,0,1.1909799,17.97284196,2.16540207,0.75789099,2.38194387,17.10668007
0,7,4,26,8,600,83.2656,80.6761,69.5385,3.5664,14,2.6828244,0,0.8536356,21.9502125,1.82918349,1.22E-01,1.34140158,17.43822585
0,7,2,21,16,612,109.4994,41.2632,52.6742,4.2734,19,8.077572,0.62825265,6.282792,11.03931477,0.98725644,0,1.88476326,23.9633928
1,7,6,23,20,1300,110.7312,31.8228,48.1395,4.1279,27,3.0692862,1.72311624,1.0769742,16.85423736,2.10004659,5.38E-02,1.34618589,23.15438244
0,8,8,25,4,180,107.4084,30.5633,51.4124,4.8144,22,6.077295,3.80E-01,0.6511653,8.51935338,2.06201106,0,2.11627395,21.0542031
0,7,4,32,10,400,53.8788,21.325,105.3416,5.677,14,2.5143912,0,0,6.96699081,3.67E-01,0,5.24E-01,8.43372432
0,7,1,31,12,300,72.0948,73.9634,89.1793,3.7356,37,2.2509621,0,0,18.74551599,0.55350909,1.85E-01,1.69742646,12.1403061
1,7,5,18,6,180,162.4398,33.7914,55.8293,4.6159,13,4.3455447,0,0.39504807,62.02286559,2.76535242,5.27E-01,3.55544856,21.59607267
1,4,7,21,20,1000,111.0876,25.6371,55.6303,5.063,12,3.3991965,0,0,16.6797189,4.26874086,0,1.18576017,18.81408933
1,6,5,19,14,450,117.4128,53.013,53.7032,5.4129,18,9.878724,0,0,27.97073829,2.44188846,0,0.88795944,17.20422477
1,9,8,27,10,150,164.4894,40.0312,43.3468,4.633,30,4.575096,1.01218689,2.9960613,45.14342166,3.03655536,1.62E-01,1.25510877,26.03337948
1,5,5,20,28,1600,195.1986,30.9462,41.5829,7.6631,13,7.478604,0,0.11162151,31.9234014,1.78592292,3.35E-01,1.56268521,20.87299404
1,5,5,17,28,730,116.2062,41.4792,59.1429,5.2368,29,6.427755,0.90824364,0.9082224,22.91563422,1.81648197,4.89E-01,1.39729464,18.58402296
1,7,5,17,14,300,207.576,20.5235,37.9901,4.9458,34,10.93329,0,0,54.66531366,3.84542235,0.67860207,13.27047588,30.6125748
1,6,7,20,18,770,193.6086,17.9945,39.1803,5.6421,28,15.235452,0,0,38.85853752,3.46264038,0.53863578,3.07790433,28.16282223
1,11,5,17,36,720,335.499,24.2551,43.0048,5.7007,28,3.0085929,0,0,189.2391022,0.72936036,6.08E-02,2.21847552,25.28455797
1,6,2,19,8,500,188.76,22.2383,47.0904,5.9328,23,3.3939396,0,0,55.49360994,1.60765029,2.08398915,3.69163413,23.04294678
0,6,6,30,12,500,62.898,58.5591,60.3678,2.454,26,3.8638215,0,0.4293135,10.79417862,2.207898,0,6.13E-02,21.34303524
1,7,4,24,24,1000,146.6856,28.8864,48.9061,5.3066,30,8.414757,0,0,26.3197053,1.77151689,0,3.66957639,22.90320351
0,3,1,16,28,300,76.8504,42.5714,82.5089,7.2249,18,2.0191275,0,0,3.79355427,1.89677979,0,0.55067886,10.34050284
0,8,4,23,4,415,59.181,62.5909,84.4528,3.883,24,4.4243451,0,0,8.6960808,2.89869183,4.07E-01,1.27135737,13.47638175
0,9,3,31,4,500,100.4322,45.6675,66.7822,4.8589,25,5.790555,1.14813882,0.5990211,3.64409901,3.99E-01,4.99E-02,3.54426039,20.16733752
1,7,4,16,20,500,157.9002,18.5,52.9302,7.1318,13,4.047282,0,0,43.17073011,1.10379501,1.23E-01,1.10379501,15.8210919
0,3,0,22,10,200,87.2484,27.2787,49.9512,4.7967,17,2.9562363,0,1.0347066,1.33030899,2.96E-01,0,1.03468536,18.18088245
0,7,10,16,14,150,130.4472,37.3869,50.5018,6.3309,21,5.786307,1.85991777,0.27554121,11.98614618,3.03097986,1.38E-01,5.51087199,18.94362147
1,9,6,22,24,1000,189.375,30.031,34.7148,3.9626,46,5.942421,2.0506158,2.3017257,56.58018462,4.35232026,1.08808272,2.97129546,32.43316671
1,6,6,21,24,1000,286.4538,20.4232,30.9801,5.7171,30,7.286913,0,0,94.79329695,3.80748771,2.63E-01,6.89286321,32.95445472
1,5,4,21,10,350,178.368,17.1594,42.5962,7.4519,20,4.8556764,0,0,27.99146322,4.66524387,2.38022874,4.85566047,19.8034857
0,6,0,33,4,120,68.6598,48.6812,87.513,5.413,23,2.875896,0,1.1061261,1.60386426,1.71447156,0,3.32E-01,12.72028554
1,4,2,23,12,500,136.5768,34.7416,61.2889,10.0333,17,3.1264218,0,0.40779207,13.18528755,0.95151483,0,2.72E-01,12.23377272
1,6,7,25,10,400,262.611,25.9917,33.8017,7.4215,22,12.840642,0.69140448,0,83.36384055,2.17299006,0.88895241,2.27176137,23.90290128
0,5,4,19,20,730,91.308,42.0578,78.6052,4.4265,21,3.9765528,0,0,20.11937229,2.03560974,1.89E-01,1.1834928,16.42687794
1,7,10,23,20,1800,176.5188,24.644,44.8519,5.9877,23,12.48912,0,0,38.07789849,2.03625225,1.28962377,1.6290018,21.99151368
1,8,2,16,42,2200,209.8398,27.8791,48.3616,6.474,21,9.707211,1.34110422,0.51089634,69.35416488,4.08717072,0.57475971,2.10744873,23.30964153
0,6,3,22,40,480,108.4692,32.7104,56.654,5.4251,23,5.2202079,0,0,11.61135576,2.34178434,1.46361654,0.68301999,17.90490582
1,5,4,18,10,430,166.902,31.4286,52.6866,7.3209,15,9.801198,0,0.12406284,43.91915868,2.35724175,0.99252396,2.60537274,16.62476571
0,7,10,21,12,350,89.9394,31.616,68.6056,5.8367,20,5.938173,0.92239479,0.8647335,6.68736621,3.6319338,2.42129097,2.13303762,14.47007922
0,8,5,19,20,639,197.5674,40.1297,45.1343,4.8085,25,4.9542831,1.21E-01,0,78.66398079,1.45002825,1.26877671,2.05420536,24.28795593
1,7,6,22,10,1000,91.866,36.3039,49.7311,3.088,29,7.482321,0,0.42581421,15.99837156,2.31155451,0.66913434,0.7299657,24.87960144
1,6,3,21,12,730,166.5636,23.1111,38.6699,5.1133,31,10.114488,0,0,11.52933219,1.69756983,1.41E-01,0.91951677,29.35381806
0,7,7,19,28,360,99.2874,53.9434,60.7887,5.1268,18,7.394706,2.51733294,0.8653176,10.22666706,1.10133117,0,1.88800236,16.75600236
1,8,6,24,16,1250,216.6852,21.6119,32.6225,5.0083,33,3.6524835,2.00E-01,0,63.49304529,2.10142719,2.80190115,4.4530191,30.22048971
1,8,6,21,24,750,130.5,31.7314,48.5211,4.7923,24,13.821399,1.04464161,0.8839026,23.78571489,2.73214368,4.02E-01,2.97321237,22.82142951
0,6,4,19,12,480,52.8438,65.0345,82.24,3.44,20,6.077295,0,0.9349848,8.18097894,1.94785137,3.90E-01,4.67E-01,13.6349649
1,6,8,17,24,365,200.9172,54.3652,62.9957,4.6883,20,5.55426,0,2.4039963,113.402022,3.7303281,2.49E-01,1.16054829,19.1490282
1,6,5,19,14,1000,144.6822,34.1769,42.6516,4.2873,22,10.86426,0,0,28.01227842,1.64432646,3.52E-01,0.88089183,25.95686769
1,8,3,23,12,300,125.7894,36.5231,47.5701,4.6564,32,5.0313843,1.49078781,6.801579,11.83312791,3.4940331,3.73E-01,1.63054701,24.27188787
1,4,4,23,28,1000,113.601,22.7456,60.0471,5.2588,22,4.6578789,0,1.7040852,14.42811429,2.38575114,0,7.83889812,19.31322402
1,11,8,16,4,300,157.9686,29.2745,41.8308,4.1681,41,6.305094,1.88115246,5.991804,33.86070711,2.9262348,1.14959376,6.09632073,29.22750378
0,5,6,20,6,100,61.7502,72.4952,85.5472,5.3585,16,5.360445,0,0,8.51943303,1.91447802,0,1.62730791,10.14674094
0,9,5,22,10,700,83.085,31.451,57.7344,4.6289,20,5.876577,0,2.6711424,4.54097394,1.60269606,0.73456947,3.4057278,17.09542818
0,6,5,32,2,300,38.2104,73.5573,123.4848,3.3182,14,3.1740525,6.75E-02,0,4.86238824,0.81039627,2.03E-01,3.38E-01,8.91438021
0,7,5,18,24,400,83.376,58.8878,67.0636,5.2875,29,2.675709,0,0,2.75556078,0.63896823,7.99E-02,4.3130475,15.69469797
1,11,9,23,10,500,119.5992,37.2925,48.4958,4.7487,31,6.160131,5.04E-01,3.9626937,22.73140908,2.37761091,0.57638988,2.1974904,21.21838299
1,6,6,19,10,700,129.9594,24.6131,54.5865,5.1504,25,7.574715,1.42022853,3.4322247,11.00677509,2.18952009,4.73E-01,0.88764084,23.61130794
0,4,3,18,12,450,78.825,45.6978,72.9714,4.6786,7,1.8118782,0,0,2.42E-01,1.08712692,0,3.38216733,16.91082603
1,7,1,16,12,600,81.711,49.1755,66.5691,4.3902,20,4.2458229,0,1.5831765,4.3177734,0.57570489,7.20E-02,0,17.70287625
0,6,6,25,20,800,76.5426,57.1442,82.9353,4.9448,23,3.0457629,0,0,5.63642163,1.33033554,2.10E-01,2.20555629,14.59868211
0,6,1,19,6,50,88.1628,51.8062,81.2632,5.5132,15,6.232347,4.41E-01,0.37770561,7.99471476,1.00720611,6.30E-02,1.82556207,14.35271229
1,6,0,29,20,1000,134.2992,10.8571,54.5139,7.2257,32,3.826917,2.77E-01,0.1109259,19.1346381,0.72101304,1.10925369,1.71934614,15.97326057
0,7,7,22,12,100,66.8676,75.7029,75.5442,3.4274,19,2.7228618,1.10759697,0.9229842,13.89109806,1.70754201,9.23E-02,1.79984574,16.19859042
0,6,0,21,2,50,37.2018,61.7455,139.2072,4.2072,18,2.4070761,0,0,2.10619026,0.60176637,7.52E-02,0.82743075,8.34952896
1,6,6,24,24,400,207.8286,51.6859,49.5417,4.7448,12,6.602985,0,0,109.5425654,2.27311542,0,0.64946079,20.78277714
1,8,6,17,4,720,203.2488,20.5587,48.1894,7.7493,20,6.873264,3.25E-01,0.21647808,52.65838323,2.05654707,1.51535187,10.22860521,19.42893954
1,8,6,21,8,650,169.3164,49.8065,52.5064,5.4571,30,8.115273,1.44913086,5.0719527,49.36703814,2.36691126,1.15930575,3.57452208,22.50982278
1,12,10,19,10,400,172.4688,28.0043,42.5231,5.0829,34,4.5917694,1.83028266,1.9266273,19.97254548,3.40368345,0,4.50E-01,29.83037994
0,7,6,20,6,1000,96.756,29.0894,56.2105,4.4737,27,3.5935425,0,0,10.78061688,2.73421458,3.12E-01,0,19.29573819
1,9,7,22,16,500,297.0672,25.6638,44.3647,5.8408,50,3.1891329,0,0,166.1071333,3.42663858,2.23918983,4.58016174,23.44363407
1,7,4,17,10,500,109.6176,26.9155,46.0211,4.5825,24,5.874453,7.08E-02,2.1939858,20.2412421,2.90171853,0,1.13237874,20.17047042
0,9,5,19,6,200,62.1042,37.7711,71.1111,3.3814,28,4.3994412,0,1.5558831,4.13116938,1.50224148,0,1.18033335,17.86596228
1,7,4,19,56,1500,151.9794,32.4456,43.3075,3.6227,39,5.470362,0,2.7717138,50.40123498,2.99052297,0,1.46E-01,28.22760954
1,4,7,19,12,800,133.884,37.828,40.7059,3.3922,21,6.204735,0,0,29.69368992,1.84662153,3.69E-01,2.95E-01,30.13687845
0,4,0,20,24,233,69.1764,44.1333,93.404,6.3113,15,2.5979706,0,0,1.75539573,1.40E-01,4.92E-01,1.0532385,10.60258851
1,6,3,27,12,416,149.094,26.3772,45.1915,5.2057,23,6.790959,0,0,17.70802164,3.09460428,2.58E-01,5.50152108,24.24107925
1,4,2,26,12,200,111.342,18.8515,65.098,7.1765,12,3.6878481,0,0,23.23340055,1.59806574,1.96685055,2.33563536,12.5386623
1,4,1,25,4,800,87.2346,53.7391,79.5862,3.6983,14,4.6643571,0,0.42403005,24.87648978,2.26149714,1.41E-01,0.8480601,16.39586754
1,8,8,20,24,500,135.414,27.4865,50.6942,4.6302,26,8.295813,0.54939384,0.8790174,11.31751098,2.7469692,2.20E-01,1.92287844,26.59065336
0,7,1,18,16,600,125.832,38.809,57.2773,6.056,20,6.147387,3.81E-01,0.16320285,3.48168204,1.63E-01,0,0.81601956,19.42125597
0,4,3,27,6,120,58.6008,37.5,104.9863,4.6712,10,5.376906,0,0.7681446,8.75680065,1.99716534,3.07E-01,1.22902605,11.21484744
1,7,8,24,42,1200,186.7284,23.2756,47.4196,7.0902,23,3.3870897,0,0,42.17742027,1.93548438,4.84E-01,3.14516079,20.5645149
0,9,3,16,8,1000,79.2294,35.5318,66.9467,4.09,20,4.1643675,0,1.8182502,8.38742112,1.46633526,2.35E-01,1.46633526,17.59598595
0,8,5,32,20,1000,145.7052,36.4456,61.8095,10.2513,27,5.0363226,3.36E-01,0.22383774,11.5275852,2.27566953,0,5.18554953,14.10170328
0,7,1,17,16,150,115.536,25.4369,73.4879,6.9179,18,4.5886896,0,0.07170093,14.76991899,2.07925794,7.17E-02,2.07925794,14.84161461
1,7,7,17,56,1825,165.321,16.2072,40.1272,6.3161,29,8.900091,2.35447524,1.035981,12.66707403,1.64813373,4.71E-02,6.49835145,23.68601964
1,8,6,17,10,780,174.2208,38.7362,45.9769,5.4971,24,6.766533,1.0252017,1.1618811,42.30667098,2.18709873,0,0.75181635,23.64799473
0,6,1,16,12,350,129.5088,48.1915,63.6614,7.6878,20,4.7569635,0,0,16.95627963,0.76725252,0.69052833,5.90784228,14.50106838
0,6,4,23,4,400,156.9822,34.9942,64.5831,6.5802,27,5.624883,1.09509192,1.2443985,52.01685558,1.59286194,4.98E-02,1.24442505,17.07347664
0,4,6,17,36,1260,82.5732,39.9298,77.2414,6.4483,8,8.532108,0,0,8.91980703,3.10254273,0,4.07208501,11.24671275
1,10,2,18,14,500,135.3252,34.5561,47.7864,7.3447,18,6.347574,0.53534358,2.1413637,18.9664704,1.60603074,0,1.68251067,15.75440892
0,5,3,22,20,315,54.0792,37.1724,111.661,3.9492,14,7.070796,0,0,6.67776573,1.57123962,1.96E-01,2.5532604,11.58788556
0,7,3,19,24,200,85.0974,54.375,76.1522,4.5848,26,5.2781931,1.3040298,2.2354569,6.83061939,0.80725275,3.73E-01,4.97E-01,17.94590433
1,3,5,22,10,500,67.1406,56.5437,55.7295,3.029,15,6.018885,0,0,6.11751294,1.38137526,0,2.96E-01,20.4245964
1,6,3,24,18,750,157.167,20.3003,38.2177,4.5544,16,9.482067,0,0.18776691,25.25441841,1.40823855,0.65717622,3.37977252,27.6014862
0,7,7,19,8,480,156.2238,25.0423,40.3088,5.1193,29,8.311743,1.55840535,3.1168107,34.11172143,3.89601072,0.95235912,2.9436516,24.6747204
1,9,5,25,10,700,127.887,46.9684,52.0097,4.8519,35,10.833462,3.97E-01,0.34032852,12.47863806,1.98523908,1.70E-01,2.43900513,23.36908167
0,7,6,23,20,300,94.2774,40.4211,63.0026,4.9659,35,4.8584907,0,0,13.78754775,3.2827482,1.53195093,1.13801796,16.67636829
0,6,2,16,56,1260,114.2112,35.4667,62.7353,8.7426,22,7.752069,0,0,1.89E-01,2.84E-01,1.89E-01,6.42857274,12.85714548
0,8,6,18,12,2000,133.3434,34.6935,46.4869,4.7807,21,6.71184,1.65292866,4.6582506,18.58289724,2.75487579,1.00E-01,1.00177398,24.89407119
1,4,5,17,14,600,99.5436,38.7407,51.871,5.212,24,4.6853847,0,1.2778515,8.09295507,1.87415919,1.70E-01,2.21491251,18.48601098
1,9,7,20,10,600,114.8658,37.4084,50.9724,4.1191,33,4.7457063,0,2.76E-02,15.12002853,1.93139037,2.76E-02,0.9932886,25.02530784
